"site_code","Site","Date","Turbidity","TSS","ChlA","TC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","location_type","watershed","burn_status","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"PBD","Poudre at Bellvue Diversion",2022-10-21,0.84,1.8,0.52,,,2.38,0.16,6.91,878.15,102.04,4.45,0.01,0.95,3.23,11.63,0.13,2.51,0.06,0,4.81,,,,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2012,,,2022,13:15:00,"2022-10-21 13:15:00","ROSS"
"LNGO","Long Draw Outflow",2022-10-25,7.53,8.69,1.71,,,1.64,0.24,6.93,412.39,61.22,1.5,0.01,0.65,1.37,8.41,0.22,0.13,0.24,0,8.13,,,,40.50368571,-105.7709459,"Longdraw","Outflow","Long Draw Reservoir","Unburned",,"CDWR","LAPLODCO",98.705,0,0,2014,,,2022,09:30:00,"2022-10-25 09:30:00","ROSS"
"LNGR","Long Draw Reservoir",2022-10-25,0.49,0.28,1.72,,,2.21,0.16,6.8,420.56,66.88,1.65,0.01,0.4,1.55,8.94,0.23,0.22,0.08,0,10.16,,,,40.50087627,-105.7725307,"Longdraw","Reservoir","Long Draw Reservoir","Unburned",,,,100.445,0,0,2013,,,2022,09:32:00,"2022-10-25 09:32:00","ROSS"
"PTRO","Peterson Outflow",2022-10-25,15.98,14.17,8.33,,,3.48,0.23,6.99,480.34,56.67,3.02,0.01,0.93,0.9,6.93,0.04,0.95,0.22,0.02,3.11,,,,40.56063874,-105.7929021,"Longdraw","Outflow","Peterson Reservoir","Burned",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,2016,,,2022,10:39:00,"2022-10-25 10:39:00","ROSS"
"PTRR","Peterson Reservoir",2022-10-25,13.28,10.2,3.27,,,3.2,0.24,6.88,390.23,49,2.85,0,0.9,0.92,6.06,0.05,0.89,0.36,0,2.92,,,,40.55936515,-105.7940034,"Longdraw","Reservoir","Peterson Reservoir","Burned",,,,91.236,0.3055062638172439,0.32090379008746356,2015,,,2022,10:45:00,"2022-10-25 10:45:00","ROSS"
"JOEI","Joe Wright Inlet",2022-10-25,0.2,0.51,0.19,,,0.93,0.23,6.9,558.34,80.22,2.43,0.01,0.4,2.01,10.13,0.04,0.92,0.61,0,9.22,,,,40.54013102,-105.8831698,"Chambers Complex","Inflow","Joe Wright Reservoir","Unburned","ROSS","USGS","6746095",95.264,0,0.006530548628428928,2017,,,2022,11:40:00,"2022-10-25 11:40:00","ROSS"
"CBRI","Chambers Inlet",2022-10-25,2.63,2.35,0.72,,,2.12,0.21,6.99,512.33,59.25,2.66,0.01,0.54,1.37,7.49,0.05,0.8,0.14,0,3.44,,,,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,2019,,,2022,12:45:00,"2022-10-25 12:45:00","ROSS"
"CBRR","Chambers Reservoir",2022-10-25,1.98,1.47,3.92,,,2.62,0.33,7.09,466.81,56.31,1.94,0.01,0.5,1.41,8.03,0.05,0.72,0.07,0,3.03,,,,40.603457,-105.845931,"Chambers Complex","Reservoir","Chambers Reservoir","Burned",,,"na",87.814,0.19135067209931075,0.3299053356282272,2023,,,2022,12:45:00,"2022-10-25 12:45:00","ROSS"
"BMD","Barnes Meadow Outflow",2022-10-25,2.69,3.9,4.23,,,5.99,0.38,7.09,680.22,88.77,2.84,0.02,0.98,1.5,12.21,0.04,1.64,0.18,0,7.11,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,2020,,,2022,13:00:00,"2022-10-25 13:00:00","ROSS"
"BRNR","Barnes Meadow Reservoir",2022-10-25,3.32,3.54,4.37,,,6.01,0.26,7,602.34,82.11,2.8,0.01,0.84,1.51,11.31,0.02,1.71,0.15,0,7,,,,40.599908,-105.830604,"Chambers Complex","Reservoir","Barnes Meadow Reservoir","Burned",,,,85.149,0.4490768485927012,0.1845300397739167,2022,,,2022,13:29:00,"2022-10-25 13:29:00","ROSS"
"CHD","Chambers Outflow",2022-10-25,1.15,1.05,0.7,,,2.72,0.15,7,461.23,55.61,2.14,0.02,0.54,1.31,7.45,0.04,0.74,0.08,0,2.97,,,,40.60233229,-105.8427286,"Chambers Complex","Outflow","Chambers Reservoir","Burned","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,2024,,,2022,14:20:00,"2022-10-25 14:20:00","ROSS"
"JOER","Joe Wright Reservoir",2022-10-25,0.55,0.7,2.15,,,2.63,0.1,6.88,520.11,61.23,1.78,0.02,0.4,1.8,7.88,0.08,0.61,0.07,0,3.69,,,,40.55593744,-105.8749619,"Chambers Complex","Reservoir","Joe Wright Reservoir","Partially Burned",,,,93.218,0.048734263332836585,0.006530548628428928,2018,,,2022,,,"ROSS"
"JOEI","Joe Wright Inlet",2022-11-01,0.28,0.8,0.19,,,0.97,0.23,6.98,650.09,86.98,2.77,0.02,0.58,2.73,11.54,0.03,0.9,0.59,0,8.99,,,,40.54013102,-105.8831698,"Chambers Complex","Inflow","Joe Wright Reservoir","Unburned","ROSS","USGS","6746095",95.264,0,0.006530548628428928,2030,,,2022,09:12:00,"2022-11-01 09:12:00","ROSS"
"JOER","Joe Wright Reservoir",2022-11-01,0.77,1.6,2.71,,,3.07,0.09,6.96,473.15,57.75,1.65,0.02,0.6,1.64,7.88,0.07,0.62,0.08,0,3.72,,,,40.55593744,-105.8749619,"Chambers Complex","Reservoir","Joe Wright Reservoir","Partially Burned",,,,93.218,0.048734263332836585,0.006530548628428928,2031,,,2022,09:32:00,"2022-11-01 09:32:00","ROSS"
"CBRI","Chambers Inlet",2022-11-01,0.3,0.4,0.78,,,1.86,0.23,7.01,512.28,61.43,2.56,0.02,0.79,1.63,7.78,0.04,0.78,0.16,0,3.41,,,,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,2032,,,2022,10:20:00,"2022-11-01 10:20:00","ROSS"
"BMD","Barnes Meadow Outflow",2022-11-01,6.93,9.8,5.69,,,6.24,0.3,6.95,585.03,87.54,2.78,0.02,1.14,1.7,14.45,0.04,1.58,0.17,0,6.89,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,2033,,,2022,10:54:00,"2022-11-01 10:54:00","ROSS"
"BRNR","Barnes Meadow Reservoir",2022-11-01,4.92,5.1,4.03,,,6.32,0.29,6.97,664.53,90.1,3.2,0.03,1.13,1.77,14.13,0.02,1.68,0.12,0,7.89,,,,40.599908,-105.830604,"Chambers Complex","Reservoir","Barnes Meadow Reservoir","Burned",,,,85.149,0.4490768485927012,0.1845300397739167,2034,,,2022,11:32:00,"2022-11-01 11:32:00","ROSS"
"CBRR","Chambers Reservoir",2022-11-01,1.15,1.32,3.74,,,2.79,0.23,6.97,447.28,56.43,1.99,0.02,0.79,1.52,8.31,0.04,0.73,0.07,0,2.98,,,,40.603457,-105.845931,"Chambers Complex","Reservoir","Chambers Reservoir","Burned",,,"na",87.814,0.19135067209931075,0.3299053356282272,2035,,,2022,12:12:00,"2022-11-01 12:12:00","ROSS"
"CHD","Chambers Outflow",2022-11-01,0.84,0.6,3.84,,,2.74,0.11,6.96,453.57,52.32,1.91,0.03,0.78,1.47,7.43,0.04,0.7,0.06,0,2.98,,,,40.60233229,-105.8427286,"Chambers Complex","Outflow","Chambers Reservoir","Burned","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,2036,,,2022,12:37:00,"2022-11-01 12:37:00","ROSS"
"SAWM","Sawmill",2022-11-03,0.7,0.39,,,,1,0.43,6.97,482.6,61.04,1.79,0.01,0.8,1.99,8.15,0.03,0.31,1.02,0,3.8,,,,40.581377,-105.856229,"Tributary","Stream","CLP Tributary - Upper","Partially Burned",,"RMRS",,90.13,,,2037,,,2022,09:13:00,"2022-11-03 09:13:00","ROSS"
"BEAV","Beaver",2022-11-03,0.62,0.6,,,,1.96,0.28,7.01,399.28,46.86,2.73,0.02,0.6,1.32,5.11,0.03,0.56,0.27,0,2.18,,,,40.579336,-105.5940998,"South Fork","Stream","CLP Tributary - Upper","Burned",,,,61.499,,,2040,,,2022,12:03:00,"2022-11-03 12:03:00","ROSS"
"PJW","Poudre Above Joe Wright",2022-11-08,0.23,0.61,0.35,,,1.86,0.56,7.01,362.28,53.26,3.09,0.01,0.5,1.2,6.89,0.04,0.98,0.38,0,4,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2047,,,2022,11:30:00,"2022-11-08 11:30:00","ROSS"
"SLEP","Poudre at Sleeping Elephant",2022-11-08,2.79,1.31,2.21,,,2.09,0.27,7.06,498.39,62.64,2.46,0.03,0.74,1.7,7.56,0.03,1.02,0.38,0,4.2,,,,40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,73.161,,,2049,,,2022,11:50:00,"2022-11-08 11:50:00","ROSS"
"SFM","Poudre South Fork",2022-11-08,5.06,5.93,1.36,,,1.67,0.22,7.01,443.36,52.43,3.02,0.03,0.58,1.53,5.88,0.14,0.64,0.26,0,2.65,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,2051,,,2022,13:10:00,"2022-11-08 13:10:00","ROSS"
"PSF","Poudre Below S. Fork",2022-11-08,2.11,1.9,0.49,,,1.97,0.09,7.14,624.64,74.67,3.47,0.03,0.89,2.21,8.19,0.09,1.43,0.05,0,4.3,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2053,,,2022,13:50:00,"2022-11-08 13:50:00","ROSS"
"PNF","Poudre Above North Fork",2022-11-08,1.56,0.75,0.26,,,2.41,0.2,7.19,756.22,86.77,3.9,0.01,0.94,2.39,10.32,0.08,1.8,0.04,0,4.4,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2054,,,2022,15:00:00,"2022-11-08 15:00:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2022-11-08,1.11,1.51,0.28,,,2.56,0.3,7.15,738.49,94.7,4.02,0.04,0.92,2.55,12.76,0.1,2.05,0.05,0,4.65,,,,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2055,,,2022,15:15:00,"2022-11-08 15:15:00","ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2022-11-08,1.68,2.12,2.96,,,2.8,0.25,7.06,545.45,65.68,1.99,0.03,0.83,1.59,8.24,0.03,1.22,0.2,0,4.45,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2045,,,2022,,,"ROSS"
"PBR","Poudre Below Rustic",2022-11-08,1.87,0.63,0.52,,,1.91,0.09,7.15,686.42,79.89,3.52,0.02,1.06,2.47,9.4,0.06,1.52,0.08,0,4.52,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2050,,,2022,,,"ROSS"
"PJW","Poudre Above Joe Wright",2022-12-16,0.33,0.61,,,,1.85,0.61,7.02,388.61,52.31,3,0.01,0.49,1.16,6.78,0.03,0.62,0.55,0,3.23,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2061,,,2022,,,"ROSS"
"PBR","Poudre Below Rustic",2022-12-16,0.8,0.78,,,,2.39,0.26,7.21,690.79,80.45,3.55,0.03,1,2.45,9,0.09,1.69,0.41,0,4.67,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2062,,,2022,,,"ROSS"
"PNF","Poudre Above North Fork",2022-12-16,1.02,0.89,,,,2.41,0.56,7.22,730.21,86.61,3.89,0.02,0.91,2.23,10.23,0.11,1.59,0.38,0,4.7,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2063,,,2022,,,"ROSS"
"PBD","Poudre at Bellvue Diversion",2022-12-16,1.02,0.99,,,,2.05,0.3,7.21,820.34,96.51,3.89,0.03,0.89,2.4,12.34,0.09,1.67,0.41,0,4.66,,,,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2064,,,2022,,,"ROSS"
"PBD","Poudre at Bellvue Diversion",2023-01-26,1.64,2.06,0.52,,,1.85,0.71,6.97,989.31,113.96,3.88,0.03,1.05,2.87,12.04,0.11,3.86,0.49,0,5.59,,,,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2065,,,2023,08:30:00,"2023-01-26 08:30:00","ROSS"
"PNF","Poudre Above North Fork",2023-01-26,0.91,0.49,0.66,,,1.69,0.26,7.08,705.3,83.64,3.45,0.01,0.99,2.48,9.36,0.07,2.26,0.51,0,4.67,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2066,,,2023,09:00:00,"2023-01-26 09:00:00","ROSS"
"PSF","Poudre Below S. Fork",2023-01-26,0.4,1.58,0.63,,,1.66,0.46,7.07,665.79,76.07,3.55,0.04,0.96,2.27,9.03,0.07,1.58,0.6,0,4.14,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2067,,,2023,09:35:00,"2023-01-26 09:35:00","ROSS"
"PBR","Poudre Below Rustic",2023-01-26,0.82,2.16,0.69,,,1.88,0.48,7.07,690.93,79.33,3.21,0.04,1.09,2.39,9.18,0.06,1.71,0.52,0,4.25,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2068,,,2023,10:00:00,"2023-01-26 10:00:00","ROSS"
"PJW","Poudre Above Joe Wright",2023-01-26,0.77,0.4,0.09,,,1.59,0.64,6.91,429.38,51.2,3,0.02,0.45,1.02,6.81,0.06,0.68,1.25,0,2.67,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2070,,,2023,10:45:00,"2023-01-26 10:45:00","ROSS"
"PJW","Poudre Above Joe Wright",2023-02-27,0.88,0.18,0.18,,,1.79,0.83,7,425.02,55.65,2.68,0.02,0.47,0.99,6.78,0.03,0.83,1.71,0,3.11,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2072,,,2023,10:00:00,"2023-02-27 10:00:00","ROSS"
"PBR","Poudre Below Rustic",2023-02-27,0.81,1.4,1.44,,,1.92,0.41,6.99,683.21,78.89,3.42,0.04,1.07,2.38,9.02,0.05,1.62,0.68,0,3.19,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2073,,,2023,10:30:00,"2023-02-27 10:30:00","ROSS"
"PSF","Poudre Below S. Fork",2023-02-27,0.36,0.19,1.12,,,1.91,0.44,7.04,642.09,77.05,3.58,0.04,0.94,2.11,8.39,0.07,1.55,0.92,0,4.28,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2074,,,2023,11:00:00,"2023-02-27 11:00:00","ROSS"
"PNF","Poudre Above North Fork",2023-02-27,0.55,2.83,,,,1.77,0.26,7.08,670.17,79.08,3.38,0.02,0.88,2.37,8.23,0.08,2.45,0.69,0,4.85,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2075,,,2023,11:30:00,"2023-02-27 11:30:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2023-02-27,0.89,3.4,1.02,,,2.32,0.47,6.99,861.71,99.1,3.81,0.02,1.02,2.66,12.02,0.11,3.62,0.66,0,4.61,,,,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2076,,,2023,12:00:00,"2023-02-27 12:00:00","ROSS"
"PJW","Poudre Above Joe Wright",2023-03-17,0.83,1.12,0.33,,,1.67,0.47,6.98,448.38,54.54,2.46,0.01,0.63,0.98,6.68,0.03,0.75,1.26,0,2.94,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2078,,,2023,10:15:00,"2023-03-17 10:15:00","ROSS"
"PBR","Poudre Below Rustic",2023-03-17,1.11,1.5,1.67,,,1.96,0.18,7.1,678.08,79.04,2.56,0.03,1.01,2.29,9.11,0.03,1.72,0.62,0,4.82,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2081,,,2023,11:50:00,"2023-03-17 11:50:00","ROSS"
"SFM","Poudre South Fork",2023-03-17,7.31,9.28,0.92,,,1.51,0.22,7.25,518.26,64.63,3.06,0.07,0.88,2.12,7.63,0.07,1,0.64,0,3.96,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,2082,,,2023,12:20:00,"2023-03-17 12:20:00","ROSS"
"PSF","Poudre Below S. Fork",2023-03-17,0.93,1.24,2.94,,,2.21,0.31,7.16,667.86,76.53,3.61,0.04,1.01,2.11,8.33,0.03,1.69,0.62,0,4.73,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2083,,,2023,13:00:00,"2023-03-17 13:00:00","ROSS"
"PNF","Poudre Above North Fork",2023-03-17,0.93,1.76,1.66,,,1.91,0.15,7.22,647.91,79.32,3.36,0.03,0.72,2.37,7.86,0.02,2.25,0.54,0,4.7,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2084,,,2023,13:30:00,"2023-03-17 13:30:00","ROSS"
"SFM","Poudre South Fork",2023-04-24,9.74,5.88,,,,3.18,1.2,6.99,367.82,57.38,3.02,0.08,0.74,1.55,5.89,0.03,1.24,2.78,0,4.51,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,2085,,,2023,,,"ROSS"
"PSF","Poudre Below S. Fork",2023-04-24,2.11,0.42,,,,3.96,1.3,7.17,702.3,83.83,3.77,0.05,1,2.08,8.99,0.1,1.59,1.95,0,4.93,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2086,,,2023,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2023-04-24,2.85,0.69,2.27,,,2.99,0.52,7.09,558.35,68.7,2.01,0.07,0.84,1.61,9.11,0.05,1.48,0.64,0.06,4.14,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2087,,,2023,,,"ROSS"
"PJW","Poudre Above Joe Wright",2023-04-24,4.65,3.1,0.23,,,5.03,1.74,6.99,469.93,57.43,2.5,0.04,0.68,1.02,7.12,0.02,1,2.7,0,3.28,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2088,,,2023,,,"ROSS"
"PBR","Poudre Below Rustic",2023-04-24,8.37,16.27,,,,3.87,1.16,7.07,614.52,81.28,2.77,0.04,1,2.21,9.22,0.07,1.56,2.16,0,5.88,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2089,,,2023,,,"ROSS"
"PNF","Poudre Above North Fork",2023-04-24,2.34,3.27,,,,3.67,1.34,7.13,558.35,76.6,3.23,0.07,0.84,2.38,7.98,0.05,2.58,1.35,0.05,5.12,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2090,,,2023,,,"ROSS"
"BMD","Barnes Meadow Outflow",2023-05-16,3.83,4.4,3.08,,,6.87,1.07,6.85,515.9,82.68,2.28,0.14,1.05,1.17,12.76,0.03,1.53,1.7,0.02,7.45,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,2091,,,2023,09:15:00,"2023-05-16 09:15:00","ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2023-05-16,2.86,2.48,5.26,,,6.31,1.35,6.83,477.31,73.53,2.31,0.09,0.97,1.49,10.43,0.03,1.5,1.55,0,6.24,8.71,76.15,4.6,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2092,,,2023,09:35:00,"2023-05-16 09:35:00","ROSS"
"PJW","Poudre Above Joe Wright",2023-05-16,1.69,3.33,0.65,,,7.24,1.39,6.72,575.72,71.43,2.51,0.13,0.92,1.51,9.74,0.04,0.65,3.6,0.24,2.38,9.92,36.68,1.7,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,2093,,,2023,09:48:00,"2023-05-16 09:48:00","ROSS"
"PFAL","Poudre below Poudre Falls",2023-05-16,13.97,16.55,1.29,,,7.03,1.69,6.73,194.07,35.58,1.26,0.06,0.54,0.9,4.39,0.03,0.95,2.65,0,2.5,9.9,43.57,2.6,40.651785,-105.810831,"Mainstem","Stream","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11517",,,,2094,,,2023,10:17:00,"2023-05-16 10:17:00","ROSS"
"PBR","Poudre Below Rustic",2023-05-16,9.14,11.13,1.32,,,6.32,1.56,6.74,262.16,44.06,1.35,0.07,0.51,0.92,4.79,0.04,1.35,3.79,0,4.24,9.21,49.87,5.6,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,2095,,,2023,11:05:00,"2023-05-16 11:05:00","ROSS"
"SFM","Poudre South Fork",2023-05-16,43.21,101.14,1.47,,,7.5,1.15,6.75,271.51,50.79,1.88,0.06,0.7,1.33,6.09,0.19,1.41,2.41,0.25,4.81,8.56,47.28,7.6,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,2096,,,2023,11:45:00,"2023-05-16 11:45:00","ROSS"
"PSF","Poudre Below S. Fork",2023-05-16,91.3,117.78,1.81,,,6.32,1.4,6.75,260.93,48.52,2.04,0.03,0.8,1.45,5.05,0.05,1.45,3.41,0,4.33,8.99,51.53,7.7,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,2097,,,2023,12:30:00,"2023-05-16 12:30:00","ROSS"
"PNF","Poudre Above North Fork",2023-05-16,13.94,23.33,2.59,,,6.45,1.32,6.76,379.36,58.91,2.42,0.03,1.13,1.66,6.71,0.05,2.1,3.33,0,4.63,9.02,55.44,9.2,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,2098,,,2023,13:20:00,"2023-05-16 13:20:00","ROSS"
"PBD","Poudre at Bellvue Diversion",2023-05-16,0.92,1.34,3.35,,,6.38,1.52,6.78,471.26,71.39,2.45,0.02,1.11,1.79,8.19,0.05,2.21,3.27,0.22,4.95,8.78,62.9,9.9,40.664519,-105.22419,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","CDWR","CLAFTCCO",0,,,2099,,,2023,13:40:00,"2023-05-16 13:40:00","ROSS"
"BEAV","Beaver",2023-05-18,1.98,2.92,,,,5.89,1.71,6.73,382.61,58.78,2.34,0.07,0.74,1.74,6.77,0.04,0.95,3.98,0.17,3.48,,,,40.579336,-105.5940998,"South Fork","Stream","CLP Tributary - Upper","Burned",,,,61.499,,,2105,,,2023,13:35:00,"2023-05-18 13:35:00","ROSS"
"JOEI","Joe Wright Inlet",2023-05-24,2.02,3.27,0.2,,,1.41,0.18,6.95,427.18,52.98,2.08,0.05,0.45,1.48,7.2,0.04,1.09,0.24,0,2.28,8.99,52.63,1.8,40.54013102,-105.8831698,"Chambers Complex","Inflow","Joe Wright Reservoir","Unburned","ROSS","USGS","6746095",95.264,0,0.006530548628428928,2112,,,2023,09:00:00,"2023-05-24 09:00:00","ROSS"
"JOER","Joe Wright Reservoir",2023-05-24,3.49,2,,,,3.22,0.2,6.97,461.62,55.08,1.83,0.05,0.52,1.34,7.3,0.03,1.37,0.56,0,2.41,8.16,57.09,1.8,40.55593744,-105.8749619,"Chambers Complex","Reservoir","Joe Wright Reservoir","Partially Burned",,,,93.218,0.048734263332836585,0.006530548628428928,2113,,,2023,10:00:00,"2023-05-24 10:00:00","ROSS"
"CBRI","Chambers Inlet",2023-05-24,0.65,1.36,0.31,,,2.55,0.54,7.07,340,51.58,1.78,0.04,0.52,1.42,7.57,0.03,1.24,1.36,0,2.35,9.01,58.63,2.6,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,2114,,,2023,10:20:00,"2023-05-24 10:20:00","ROSS"
"BMD","Barnes Meadow Outflow",2023-05-24,2.72,2.19,2.21,,,6.9,0.89,6.57,501.1,65.29,1.95,0.05,0.82,1.25,8.7,0.03,1.78,0.95,0,4.13,6.63,76.51,4.5,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,2116,,,2023,10:40:00,"2023-05-24 10:40:00","ROSS"
"BRNR","Barnes Meadow Reservoir",2023-05-24,4.05,0.36,6.53,,,6.88,0.37,7.13,400.6,53.16,1.6,0.02,0.59,1.16,6.56,0.05,1.42,0.8,0,3.35,9.29,64.31,10.2,40.599908,-105.830604,"Chambers Complex","Reservoir","Barnes Meadow Reservoir","Burned",,,,85.149,0.4490768485927012,0.1845300397739167,2117,,,2023,11:15:00,"2023-05-24 11:15:00","ROSS"
"CBRR","Chambers Reservoir",2023-05-24,3.02,2.91,7.5,,,3.66,0.44,7.08,380.9,51.19,1.93,0.03,0.73,1.28,7.23,0.02,1,1.44,0,1.86,9.11,51.42,4.1,40.603457,-105.845931,"Chambers Complex","Reservoir","Chambers Reservoir","Burned",,,"na",87.814,0.19135067209931075,0.3299053356282272,2118,,,2023,11:45:00,"2023-05-24 11:45:00","ROSS"
